epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,2990.35,0.59948,0.60522,0.99176,0.92034,0.86496,0.94466,0.84581,0.45893,0.54229,0.80775,0.0003961,0.0003961,0.0003961
63,3039.11,0.58088,0.59913,0.98186,0.92031,0.87735,0.94987,0.8527,0.4675,0.5251,0.80824,0.0003862,0.0003862,0.0003862
64,3087.36,0.58279,0.59603,0.98343,0.90496,0.88508,0.93482,0.84063,0.45939,0.57401,0.80757,0.0003763,0.0003763,0.0003763
65,3135.25,0.58582,0.61111,0.98797,0.91548,0.86495,0.93664,0.84733,0.45202,0.55413,0.8099,0.0003664,0.0003664,0.0003664
66,3183.09,0.58673,0.60895,0.99521,0.88687,0.90174,0.94722,0.85159,0.46163,0.54519,0.8108,0.0003565,0.0003565,0.0003565
67,3230.87,0.59074,0.59862,0.98615,0.89548,0.89194,0.95082,0.86218,0.45261,0.54318,0.80858,0.0003466,0.0003466,0.0003466
68,3278.3,0.57808,0.58577,0.98993,0.9351,0.8842,0.95097,0.86103,0.44097,0.52704,0.80685,0.0003367,0.0003367,0.0003367
69,3324.9,0.57246,0.5844,0.97953,0.9023,0.89519,0.9376,0.85178,0.43645,0.5276,0.80057,0.0003268,0.0003268,0.0003268
70,3371.88,0.57183,0.57594,0.98008,0.93188,0.86044,0.94341,0.85476,0.45018,0.53841,0.8109,0.0003169,0.0003169,0.0003169
71,3419.91,0.578,0.59044,0.99156,0.89426,0.89125,0.94379,0.84962,0.44986,0.55668,0.81221,0.000307,0.000307,0.000307
72,3467.99,0.57501,0.58895,0.9822,0.92998,0.87902,0.9443,0.85486,0.44551,0.52982,0.79959,0.0002971,0.0002971,0.0002971
73,3515.42,0.57352,0.59024,0.98156,0.91874,0.88314,0.94478,0.85551,0.43486,0.54134,0.79397,0.0002872,0.0002872,0.0002872
74,3563.22,0.56316,0.57172,0.9753,0.93531,0.87332,0.94563,0.85895,0.43545,0.521,0.79279,0.0002773,0.0002773,0.0002773
75,3610.59,0.57419,0.59061,0.98287,0.90478,0.90088,0.93188,0.84425,0.43688,0.51118,0.79499,0.0002674,0.0002674,0.0002674
76,3659.01,0.58303,0.59293,0.98984,0.91571,0.88399,0.94491,0.85445,0.4492,0.52142,0.79484,0.0002575,0.0002575,0.0002575
77,3707.59,0.57003,0.57572,0.97991,0.91785,0.89121,0.95106,0.86113,0.43686,0.50488,0.79843,0.0002476,0.0002476,0.0002476
78,3755.04,0.56677,0.56954,0.97835,0.946,0.87474,0.94889,0.86054,0.43338,0.49404,0.7916,0.0002377,0.0002377,0.0002377
79,3802.53,0.55542,0.55938,0.97011,0.95846,0.85366,0.94829,0.86789,0.43517,0.50977,0.7926,0.0002278,0.0002278,0.0002278
80,3851.85,0.53812,0.54648,0.96986,0.92032,0.88426,0.94766,0.86507,0.43274,0.50726,0.79004,0.0002179,0.0002179,0.0002179
81,3899.8,0.54966,0.5266,0.9755,0.91498,0.88287,0.94286,0.86255,0.42649,0.50771,0.78699,0.000208,0.000208,0.000208
82,3947.23,0.52835,0.53664,0.96045,0.90799,0.89366,0.94067,0.85932,0.42344,0.53155,0.78607,0.0001981,0.0001981,0.0001981
83,3994.51,0.5371,0.54607,0.96505,0.91137,0.89424,0.94668,0.86453,0.42625,0.49529,0.7899,0.0001882,0.0001882,0.0001882
84,4041.95,0.54423,0.52468,0.9749,0.91115,0.89404,0.94897,0.86068,0.42841,0.48691,0.78988,0.0001783,0.0001783,0.0001783
85,4091.07,0.53411,0.52677,0.96694,0.94757,0.8477,0.9459,0.86095,0.42701,0.49525,0.79122,0.0001684,0.0001684,0.0001684
86,4138.51,0.53884,0.51986,0.97205,0.93092,0.86569,0.94818,0.86271,0.43736,0.4918,0.79344,0.0001585,0.0001585,0.0001585
87,4186.25,0.53423,0.52709,0.96655,0.92597,0.86503,0.94945,0.86504,0.43009,0.5059,0.78904,0.0001486,0.0001486,0.0001486
88,4233.48,0.54177,0.52284,0.97604,0.93451,0.8607,0.94997,0.86741,0.42505,0.488,0.78897,0.0001387,0.0001387,0.0001387
89,4281.3,0.52783,0.51641,0.96199,0.93124,0.8808,0.95345,0.87084,0.42712,0.47283,0.78536,0.0001288,0.0001288,0.0001288
90,4330.79,0.51989,0.51768,0.96068,0.91231,0.89597,0.94737,0.86787,0.416,0.50661,0.77999,0.0001189,0.0001189,0.0001189
91,4376.97,0.39162,0.36873,0.8757,0.92633,0.86179,0.94617,0.86118,0.41871,0.49395,0.78379,0.000109,0.000109,0.000109
92,4420.94,0.38458,0.33615,0.87229,0.92097,0.86374,0.94667,0.8646,0.4175,0.50766,0.77758,9.91e-05,9.91e-05,9.91e-05
93,4464.8,0.37538,0.35101,0.86326,0.893,0.89993,0.94568,0.86814,0.41917,0.48172,0.77944,8.92e-05,8.92e-05,8.92e-05
94,4508.93,0.37803,0.33327,0.86385,0.91056,0.87447,0.94516,0.86653,0.41728,0.49582,0.77822,7.93e-05,7.93e-05,7.93e-05
95,4553.48,0.38413,0.32103,0.86459,0.92258,0.89188,0.95073,0.87108,0.41495,0.47971,0.77709,6.94e-05,6.94e-05,6.94e-05
96,4598.89,0.3686,0.32066,0.85764,0.9173,0.8834,0.9491,0.86542,0.41882,0.48833,0.78001,5.95e-05,5.95e-05,5.95e-05
97,4643.32,0.3581,0.31701,0.86343,0.92203,0.85541,0.94408,0.8631,0.41115,0.51289,0.77601,4.96e-05,4.96e-05,4.96e-05
98,4687.82,0.36427,0.31864,0.86445,0.91348,0.88177,0.95045,0.87324,0.40904,0.4824,0.77603,3.97e-05,3.97e-05,3.97e-05
99,4732.46,0.36465,0.31479,0.86355,0.91636,0.87535,0.94883,0.87034,0.41279,0.48247,0.77568,2.98e-05,2.98e-05,2.98e-05
100,4776.89,0.3612,0.29991,0.86042,0.9286,0.8764,0.95314,0.87312,0.41302,0.48132,0.77561,1.99e-05,1.99e-05,1.99e-05
